kanji	on'yomi	kun'yomi	meaning	practice_data
一	イチ、イツ	ひと、ひと・つ	one	[0_0_0_0_0_0_NEW]
丁	チョウ、テイ		street, ward, town, counter for guns, tools, leaves or cakes of something, even number, 4th calendar sign	[0_0_0_0_0_0_NEW]
七	シチ	なな、なな・つ、なの	seven	[0_0_0_0_0_0_NEW]
万	マン、バン		ten thousand	[0_0_0_0_0_0_NEW]
丈	ジョウ	たけ	length, 10feet, measure, Mr., Ms., height, stature, all (one has), only, that's all, merely	[0_0_0_0_0_0_NEW]
三	サン	み、み・つ、みっ・つ	three	[0_0_0_0_0_0_NEW]
上	ジョウ、ショウ	うえ	top, head, above	[0_0_0_0_0_0_NEW]
下	カ、ゲ	した	under, below, beneath	[0_0_0_0_0_0_NEW]
不	フ、ブ		negative, non-, bad, ugly, clumsy	[0_0_0_0_0_0_NEW]
与	ヨ	あた・える	bestow, participate in, give, award, impart, provide, cause, gift, godsend	[0_0_0_0_0_0_NEW]
且		か・つ	moreover, also, furthermore	[0_0_0_0_0_0_NEW]
世	セイ、セ	よ	generation, world, society, public	[0_0_0_0_0_0_NEW]
丘	キュウ	おか	hill, knoll	[0_0_0_0_0_0_NEW]
丙	ヘイ		third class, 3rd, 3rd calendar sign	[0_0_0_0_0_0_NEW]
両	リョウ		both, old Japanese coin, no. of vehicles, two	[0_0_0_0_0_0_NEW]
並	ヘイ	なみ、なら・べる、なら・ぶ、なら・びに	row, and, besides, as well as, line up, rank with, rival, equal	[0_0_0_0_0_0_NEW]
中	チュウ	なか	in, inside, middle, mean, center	[0_0_0_0_0_0_NEW]
丸	ガン	まる、まる・い、まる・める	round, full, month, perfection, -ship, pills, make round, roll up, curl up, seduce, explain away	[0_0_0_0_0_0_NEW]
丹	タン		rust-colored, red, read lead, pills	[0_0_0_0_0_0_NEW]
主	シュ、ス	ぬし、おも	lord, chief, master, main thing, principal	[0_0_0_0_0_0_NEW]
久	キュウ、ク	ひさ・しい	long time, old story	[0_0_0_0_0_0_NEW]
乏	ボウ	とぼ・しい	destitution, scarce, limited	[0_0_0_0_0_0_NEW]
乗	ジョウ	の・る、の・せる	ride, power, multiplication, record, no. of vehicles, board, mount, join	[0_0_0_0_0_0_NEW]
乙	オツ		the latter, duplicate, strange, witty	[0_0_0_0_0_0_NEW]
九	キュウ、ク	ここの、ここの・つ	nine	[0_0_0_0_0_0_NEW]
乱	ラン	みだ・れる、みだ・す	riot, war, disorder, disturb	[0_0_0_0_0_0_NEW]
乳	ニュウ	ちち、ち	milk, breasts	[0_0_0_0_0_0_NEW]
乾	カン	かわ・く、かわ・かす	drought, dry, dessicate, drink up, heaven, emperor	[0_0_0_0_0_0_NEW]
了	リョウ		complete, finish	[0_0_0_0_0_0_NEW]
予	ヨ		beforehand, previous, myself, I	[0_0_0_0_0_0_NEW]
争	ソウ	あらそ・う	contend, dispute, argue	[0_0_0_0_0_0_NEW]
事	ジ、ズ	こと	matter, thing, fact, business, reason, possibly	[0_0_0_0_0_0_NEW]
二	ニ	ふた、ふた・つ	two	[0_0_0_0_0_0_NEW]
互	ゴ	たが・い	mutually, reciprocally, together	[0_0_0_0_0_0_NEW]
五	ゴ	いつ、いつ・つ	five	[0_0_0_0_0_0_NEW]
